gene,K94,L1,L12,L13,L14,L16,L20,L24,L25,L26,L27,L3,L30,L33,L4,L5,L6,L8,L9
A1CF,9.98171705841674,9.7953334633446,10.708524729392467,10.404557416508736,11.068523760212502,10.363271016550852,10.39159378628114,11.174485486427821,10.981149184413168,11.628635392967523,10.781084907568305,10.442126050554608,10.120533790056479,11.965631457363648,10.993109686509024,10.619981229827873,10.674911668988072,10.759141368597527,10.60020811697345
A2M,12.559495457188623,12.003775891847672,12.382762311223315,12.66457485188849,13.252151054427324,13.410305389781167,14.038726110529817,13.132492368062424,13.516564079481435,13.155422835935775,13.57344387253917,12.799256928335987,12.901606362993418,14.555243794978237,11.61685014459425,10.952412358704342,14.008969510432292,10.864263385513302,11.716273296424545
AADAC,8.527684388719797,8.386707803777393,7.868213689991647,8.417652192746159,7.933731101381182,7.002032722657708,8.766775605658742,9.028578782575513,7.828628760413606,8.559582538645193,6.19018333783689,6.999503164694746,7.001420857085849,10.04807005406346,6.87487464646396,6.9166147181717665,9.965198659627431,10.030377486035773,6.651375893581497
AAGAB,6.387921722272532,NA,5.687927022725747,6.437022889980133,6.0390595397755416,6.71704624352749,5.354024846891553,6.106565171942899,6.177053199970354,6.533404540237727,5.859941215713539,6.8213798144632545,5.618593447975401,5.836543160119531,6.346737122889907,6.638460592650562,6.05440717605501,6.504276173506211,5.412790337286223
AAK1,7.942389882915,7.651077363557134,8.065325005975561,8.022058312377718,8.097262844387528,7.622855666543449,7.033055671216852,7.662075171433086,7.324386026483017,7.785028602629636,7.948723283307347,7.096694338742042,8.254912849087836,7.436637362971217,8.202978961394313,8.150313446811976,8.316618852170423,7.5331200460911045,8.367822848575122
AAMP,7.8962283465925065,NA,7.200933095604865,7.302142639664558,7.281478334852986,6.361550748157642,7.559567214475132,7.739654151064636,6.833896605769647,7.079732929612243,7.844742005768515,6.27474068941328,7.320833324975263,7.58201858164046,6.2148637290498545,6.402939796027509,7.157697106105951,6.683999936597262,7.571439957455842
AAR2,5.887906840440467,NA,6.261209955434138,5.915022505244805,5.413947984135964,6.257076378218594,6.048749228937121,6.42911801308548,6.716153240279558,6.278857628365936,6.204866914924784,6.782955377318755,5.595671630011504,6.009486298461029,5.8448275889972745,6.559652253643067,5.054039576809389,6.165160637335299,4.688409830629341
AARS,9.312559589270032,7.651077363557134,9.107406856261209,9.273618225974106,8.91007955786465,8.436531061159643,9.137208213477026,9.564576893679531,8.712702775391142,9.07013393860448,9.215289385711936,7.4307989061790405,9.709986053779867,9.378725123762775,8.95264231126165,7.448375765610335,8.047987734205337,8.253768998581725,9.289005496741675
AASS,8.879709399286378,7.580854843062388,7.022647032412808,8.589754682074998,7.7904130532172555,NA,9.180626509817648,9.455811305936992,5.767532003874413,8.143620933912588,8.362939282607298,5.16239451505743,8.730439611084227,9.40108262833675,6.4138910069204496,4.720410090792081,6.691968359437434,5.915358061077454,7.145970388612957
ABAT,10.588696059107294,9.42631976311956,10.945558745000033,11.15725020531139,9.953503383038695,11.23397440041783,11.560905520373995,12.657190100809304,12.273926940973888,12.347981954726494,12.206133798815879,11.396647698975427,9.916002652358367,11.852827875729995,11.376746329971725,10.71395694829499,9.274262319969035,8.126480077316797,10.46752398003945
ABCA1,11.492297622451632,10.385204277144402,10.97398012485906,10.672798826851137,10.034027515511285,10.238492103190103,11.336531668659548,11.446322222293103,10.748539114926642,10.482518073555456,10.551914845046303,10.031242223118914,10.694264895695655,11.064063293532355,10.917348521515885,10.86839432249302,10.625177168654071,8.2234940890462,10.13977742114673
ABCA2,7.859275112061878,NA,8.20959134765227,7.60700865974073,8.575387727525756,8.311685228509825,6.9762114659119,7.767438880057421,9.069501908907506,8.550741685528182,8.60633581491385,7.742508470060214,8.976521324811904,8.069016028657737,8.70331496130145,7.540178725117647,7.807572789382997,6.497544774474688,9.1955512166951
ABCA6,8.294486784506107,8.42729413003652,9.530814904720996,9.717228930870371,9.855809627702842,7.781925111992857,8.550190019920413,10.725631355733283,8.952876555801977,10.224905748910606,9.778481723447458,7.912325540750926,8.730439611084227,11.082164249252747,8.021108243416437,7.219730370128461,8.542995673832477,7.889956406413242,8.230971686232833
ABCA8,8.99978162946797,NA,8.380475177394642,9.184349910454744,8.70708806409304,7.06527702634016,8.809704778769321,9.059163398779985,7.427888269564763,9.432105058769087,8.964442199931904,7.21686698488937,8.717226601334923,9.618300638996521,6.655027322288612,7.2783282325963174,7.277009612091282,6.063999997276854,7.2734038908308545
ABCB1,8.812256582497637,NA,7.2398642386687175,7.168870297246306,7.306008815007287,6.257076378218594,7.43854293405944,7.4957133812514325,7.6149700079231355,7.417865772325024,6.862229658767754,6.8213798144632545,7.473226918669651,8.219176225531735,6.738898719732111,6.9166147181717665,7.322102347752308,7.631706697070056,7.97652414935518
ABCB11,7.7964330412972185,7.259802170726884,9.067384227295568,8.938097056950474,7.152149921390437,6.257076378218594,9.836435311387886,9.626572891489259,8.70241826521506,9.13663337500734,8.464055476441628,6.702892965906765,7.212003716315403,9.714869188166483,8.224960976532886,6.968379651174482,6.914394532128144,5.606811445910287,7.571439957455842
ABCB4,9.76622655880726,8.64940822796847,10.932249924701006,10.503214931591996,8.72841921881819,8.970242890635637,9.845985238816416,9.789183621014937,10.689882723043072,9.662941588701498,9.867693612849946,8.929590472018374,9.349678705196757,10.21637313985279,8.316526156856112,10.287467596887923,8.494576309602651,8.140590768074189,8.537022657869164
ABCC2,9.900901158356374,8.64940822796847,10.78866040849214,10.472121020224614,9.18156081443456,8.387881345309244,10.09722815436024,11.208017249868783,10.144430547672078,9.82203003684887,10.144931350574806,8.955735096322295,9.175131316814218,10.657864236423483,9.646365819809757,9.09581057242566,8.41355770925434,7.352799503199053,8.230971686232833
ABCC3,10.722213751076518,8.811501975551908,10.805789529547445,10.926688687004367,10.086890786117573,9.891158203986981,10.758163832747071,10.782513080826297,10.176364092902501,9.980197432174846,10.558361044254697,9.201321830514063,11.491728842557775,9.754769074035869,10.33341192602803,9.194746332051567,9.048033882420802,7.148827305206725,10.661406080348547
ABCC5,5.533120019030539,NA,6.280010140824606,6.184235873334478,7.400161058890161,6.361550748157642,4.684823899706709,6.72780834884748,5.767532003874413,6.951261458578324,6.160360089160774,5.16239451505743,6.920722780205731,6.040200718328309,6.8906773286760465,5.674632171993393,5.621319119688424,6.012991025110887,7.830217372276641
ABCC9,8.97901613246748,8.01290584330152,8.521443282467613,8.868161806414966,10.078609212288386,8.867535020405873,8.372168150911817,10.30226514258509,8.835430657915973,10.003062288118143,9.108060797805516,7.998690089467539,9.88561525148486,9.87305294385155,8.743029299679796,8.509527306037372,8.17631968630044,8.258753621018924,8.537022657869164
ABCD3,8.41942345740271,8.211879610563274,9.26669672651167,8.44353131730008,7.755215222689527,8.412411260666337,8.299886273424645,9.162582843856262,9.778904202039646,9.352948204726184,9.1021902346514,9.531894764497723,7.479501121297693,9.665854793126377,8.47603903451393,9.691697256062474,7.986291379360681,7.479472557083602,8.039351152024354
ABCD4,6.936333186040523,NA,7.220529982823168,7.424138033165738,6.807358825713139,7.125864895105655,5.957719459543645,7.548405925571151,7.310910110438337,7.556808444604135,7.6384736795982615,5.745419552404146,7.285461175428525,7.416292494874279,6.895906656307309,6.651186718145878,6.05440717605501,6.190423915580601,6.897327667387744
ABCF1,8.120255914512727,NA,6.806268991706949,7.089139362474183,7.239643917267392,6.71704624352749,6.6813232925068196,7.304722340633459,7.241575134946546,7.242303621515921,7.454112878323672,6.27474068941328,7.395727746874231,7.0137789090443565,5.988820155564566,6.007164283907448,6.276852103930311,7.091869736203028,8.230971686232833
ABCF2,7.503263616791136,NA,6.298568483588271,6.65205092652389,6.8635275759729435,6.866565013783875,6.364420371428794,6.714694169443101,5.5553510571098155,6.1905528550568025,6.6425411648034665,5.897034840752619,6.975019882544638,6.251816562098957,5.6968875935037335,5.883190530030086,5.656955132783731,6.681032326040091,7.8420138346820085
ABCG8,6.256045373809398,NA,9.373403300020398,8.411109220897687,6.488123885703198,7.444048773289987,7.678365186849847,8.68743192891416,8.633720132867177,9.032526625401486,8.955787126320738,6.858807356893516,5.595671630011504,9.356778451777247,7.982303288095201,5.7475533443965485,5.386766291626005,5.619267491405976,6.651375893581497
