comp,func,coef,pvals
lowISG,RELB,5.242569654596828,3.330619783872077e-7
lowISG,TCF7,4.739075406556234,1.3631842596439087e-5
lowISG,BACH2,3.6713887974087847,2.476908080333138e-5
lowISG,TBX21,7.548803983295251,3.8376596461932586e-5
lowISG,SPIB,6.029138672471241,8.828233126325918e-5
lowISG,STAT4,3.376638374637508,1.1588390031156941e-4
lowISG,IRF4,5.522264100940698,1.265067614245811e-4
lowISG,POU2F2,8.03494521278608,1.4774727825079488e-4
lowISG,RELA,5.899824583992251,1.5212460315152757e-4
lowISG,MAF,3.40347181350542,1.7635978743692004e-4
lowISG,E2F7,2.3734704385395737,2.0023175439257864e-4
lowISG,BCL6,-3.5215106951000745,2.550926478507875e-4
lowISG,TP73,3.1651104287661305,2.614298203508375e-4
lowISG,RBPJ,5.817300994911369,2.738903557457822e-4
lowISG,ETS1,4.285318929523617,3.6317207616132593e-4
lowISG,NFATC1,3.6020188947347194,3.873450131534515e-4
lowISG,PAX5,3.5855511792541526,3.923544559581828e-4
lowISG,PBX2,3.886801539277237,5.199553763252883e-4
lowISG,HMBOX1,-3.7147724398259054,5.90277237267143e-4
lowISG,ELF1,3.1429424317565653,6.874245559358391e-4
lowISG,NFKB1,6.155560093326494,8.719214046499213e-4
lowISG,BCL11A,3.5398253060907248,9.043121195014024e-4
lowISG,EBF1,3.920399676069256,0.0010384012430216974
lowISG,MYBL2,3.1702350637481933,0.0010911104122521607
lowISG,TCF7L2,2.5034743251481544,0.001274718764150555
lowISG,REL,2.595323255858273,0.0015919020493281358
lowISG,IRF2,3.504320798046896,0.0016016126195757161
lowISG,NFATC2,1.8860244372261636,0.001760238529228691
lowISG,ETS2,2.7481403526537256,0.001964443313873723
lowISG,BACH1,2.3024699152584924,0.0020548712957949426
lowISG,MEF2B,2.499717815704442,0.002226879718585089
lowISG,MEF2C,3.7035314238379593,0.0033164556027463145
lowISG,SOX11,2.6025091024348783,0.003488966117053796
lowISG,NFKB2,-2.018578709625534,0.0035074885439325128
lowISG,TCF3,2.1010197165114217,0.0037616822975010235
lowISG,RUNX1,2.8527732667719206,0.004297850158899007
lowISG,IRF1,2.929644080439131,0.00488234864494621
lowISG,EOMES,1.9638498375047688,0.005022846892494754
lowISG,BHLHE40,-2.5122769954714017,0.005101056281897302
lowISG,AHR,3.5380479630443253,0.006477347632975366
lowISG,LYL1,4.726501356452565,0.006674433734717193
lowISG,PROX1,2.340609480377267,0.006677801728945362
lowISG,SOX10,1.930679197635526,0.006681267500718769
lowISG,NR2F1,3.0269239450562466,0.0068176683105165715
lowISG,BHLHE22,-2.7447888611129274,0.006960745006904564
lowISG,GATA3,2.640510226825049,0.007363261557454411
lowISG,STAT1,4.542432707353586,0.007371363174442649
lowISG,USF2,2.062003412912571,0.007562059556882855
lowISG,JUN,3.5171628485613615,0.0076247424906210086
lowISG,MEIS1,3.302544384240009,0.007680235442707627
lowISG,NFYB,2.1166744426456354,0.007727178658346899
lowISG,ELK4,1.5316474009690308,0.00794767872208837
lowISG,RARA,2.0448555904809482,0.008293661589346765
lowISG,KLF9,2.993726713924458,0.008509359116155394
lowISG,TCF4,3.5616453175456932,0.00864183952146676
lowISG,HNF4A,-3.0822254524757438,0.00867174521690458
lowISG,ATF2,1.7846212148098808,0.008950568417670406
lowISG,E2F1,4.193166328276014,0.00895811591894725
lowISG,ARID3A,2.2234984392255708,0.009137473598844075
lowISG,PKNOX1,1.570916562156023,0.00932014904410734
lowISG,FOS,2.4102347616604964,0.009358398306746328
lowISG,NR2F2,-1.4357174078807367,0.009519654059966898
lowISG,RUNX3,1.7263952929756843,0.0098444048767173
lowISG,RFXANK,3.4097554457956547,0.00999040319047697
lowISG,RFXAP,3.4097554457956547,0.00999040319047697
lowISG,CREB1,1.9379244368761999,0.010421172216214282
lowISG,FOXM1,2.3353311561332237,0.010445097303241536
lowISG,NFYA,1.4513238753645363,0.01058317780799552
lowISG,POU2F1,1.9295338676890463,0.010635561642871012
lowISG,KLF6,2.122373927793361,0.010994358734695649
lowISG,TP53,2.5452987596118812,0.011271209519842422
lowISG,RUNX2,3.3678513701091166,0.011408270054752602
lowISG,CTCFL,2.4525358550795398,0.012138392656422591
lowISG,MYCN,2.4808690933870015,0.012279617777121336
lowISG,RFX5,3.1901343783456606,0.012875088073090072
lowISG,IKZF1,3.5999318566738436,0.012977650245362387
lowISG,GATA1,-1.566143258697159,0.013366508462085517
lowISG,PAX8,1.5321888500350638,0.014204672592030539
lowISG,NEUROD1,1.932699145726775,0.01422729037385667
lowISG,STAT5B,1.815392137159432,0.01501325101979616
lowISG,ELF5,1.2272082896195637,0.01610906877949954
lowISG,LHX2,1.8934922876927092,0.01615879833868388
lowISG,MAFF,2.4438163085028046,0.016709635379547665
lowISG,PRDM14,3.771557057711581,0.017213187011892596
lowISG,FOXL2,1.6824330962261616,0.017772494363446453
lowISG,E2F3,2.1925595664600026,0.01943336902564612
lowISG,SOX2,5.9554504929777075,0.020643826247068217
lowISG,PRDM1,1.797883763589267,0.021108193392779223
lowISG,POU5F1,2.9741609350731175,0.021454886159007508
lowISG,ELF3,2.026286303124773,0.021653902521486083
lowISG,PDX1,2.5603059589152806,0.022344692723163962
lowISG,WT1,1.2854001975046798,0.02283886748380934
lowISG,OTX2,1.9140135224496029,0.023461043340137558
lowISG,SMAD3,1.8798947754916395,0.023900687128940574
lowISG,FOXP1,-5.277978150309685,0.024676696677636372
lowISG,SMAD2,2.2980702877651797,0.026260872189379485
lowISG,ETV4,2.152484316658694,0.02732404496656184
lowISG,FOXP2,-1.5938364532420066,0.027741740023393434
lowISG,SRF,1.3975417104815697,0.027921339525050076
lowISG,SMAD1,2.029828288989792,0.02864214007941061
lowISG,THAP11,2.181198192492971,0.02870153525254573
lowISG,NFIC,-1.396320440748621,0.028785874506052536
lowISG,HOXA9,1.7831149158895192,0.030038994168664335
lowISG,MEF2A,4.51380550042749,0.030055567560243288
lowISG,ZBED1,1.1823484983550112,0.030533865157511036
lowISG,EGR1,2.1317277230493437,0.031173322725888394
lowISG,KDM5B,1.8911788804820382,0.032049460745200944
lowISG,ATF6,-1.776517897966882,0.033228696747853725
lowISG,ZNF217,1.941087622604107,0.033245523726945725
lowISG,MEIS2,2.9544905599580966,0.03433312718947144
lowISG,MAFK,2.4557894439667836,0.03449798215445763
lowISG,ZNF740,2.2629559603995344,0.03544626427583258
lowISG,SSRP1,-2.319849004506217,0.03554700484021957
lowISG,KMT2A,4.421341342555655,0.035912559379478
