tf,A584,A609,A616_OCT,A707,A720,A727,A748,A764,A972,A991,B136,B199,B215,B254,B283,B320,B346,B929,B986,C106,C145,C173,C186,C250a,C369,C51a,C552,C71
AHR,-2.52811065299801,3.7049123993513597,-2.2918877711661074,3.4726110585253496,2.2839970343329288,-3.2935440963339726,-1.7765084127832271,1.8251558087821305,3.0626003219887057,-2.793755992162225,0.5712940809352173,3.1005496328522515,-2.054332210965399,0.14059880666773533,5.607738350638298,2.158184062043351,2.7095753161809055,-0.4868465666204227,-4.460537873404721,0.3044075393202434,-0.15184492659910023,-4.813317577508374,3.7879438168995034,-1.9097413623155843,0.8319013595792469,-5.0074747483492414,2.859081591014523,-0.5918819184219212
AR,-0.7669394878367722,-1.114558884586424,-2.4638503822845985,-0.2877143942025729,0.5504900280972466,-1.1247280076452764,1.5001653503434598,1.5850847747628414,-0.19221435553117253,1.028933564102211,-0.8642690697205381,-0.12701699691553817,-0.11497810413269295,1.9708989602644251,-1.1014470203749844,0.7252216691403418,-2.82208154020831,-2.2517336316332184,0.8116315371857219,-0.21839749727846905,-1.7477130315378953,2.3346555737303647,0.11871963134681388,-0.7498101617901938,0.21069246599859134,2.2791651831251274,0.45107607220175666,0.6133434052271822
ARID1A,0.09019801640015652,0.938098116263026,-5.424915485009407,1.0689928030113889,3.0579279271635036,2.170657979558307,0.7356507030929743,4.114143302006407,0.9876168302414368,-5.448058761866785,3.4675144331022016,-1.2343592481441963,1.7425055038320099,1.759418199628831,0.5179790804836866,-0.30173465850718084,-0.39218351628504994,-1.6855209189137264,-3.3616793658122397,2.06795100407502,3.500307799167162,-2.4483235521901,2.797464252662041,1.0867880473999905,3.0091961439296715,-4.930437473439665,3.4690934065415555,2.899671238391988
ARID1B,1.8685451531530899,0.8127910806007096,-6.72175385606879,4.491591747764785,1.3212573626435071,1.4311954125548638,-0.02103306714445073,4.930637627014869,-0.22709811846165615,-0.9513260939797084,3.936057045051764,-1.4841374960542206,0.9844461956518149,-2.0571421730203214,0.9090062009060286,0.6422174319288444,-0.8219137125279895,-1.064237007989043,-4.413879066520957,2.7697636508253773,4.392557207942077,-7.078009160227854,3.6605906022189743,3.5019997710572603,3.850780835700343,-6.603308768906739,3.611022921836749,1.8598512336376734
ARID2,2.0263139804083394,0.4067710471151664,-4.754009871177009,4.030110902356746,2.533749824183547,2.8306783322311513,-0.6478223279962178,3.700922923283608,0.47757986979027145,1.3090706515096038,2.5483485040844265,-0.3400412005485741,1.4897374806748802,-4.293212189093946,1.3387328441759294,-0.1974257571767177,1.9345227403812644,-0.1045604010283266,-5.708508770328259,4.120547541979312,3.1438968137881655,-7.85313878992468,2.920165128942684,3.2676877517055902,2.614059854034557,-7.186476365275257,0.8483644476817258,1.1274873352012416
ARID3A,1.4662743820639281,1.6207269659992243,0.15229269547101792,2.490154523309906,1.3537788569859568,0.7976086426230532,1.9860249155032659,1.695414830566149,-0.5482654210420203,-5.419983716191377,0.9121499528784583,0.28738041959773647,-0.2702162917823304,3.406325979891094,1.0490143695560026,-1.6076624644191386,-0.9754958487516667,-2.49041430795247,-1.6535208732287245,0.6174777496575683,0.35562547456722027,0.5776998753598586,1.264245668720151,-1.0895278406680633,-1.4216257567010468,-3.2561415227120754,1.9979614266544439,1.7324757883316397
ARNT,-2.065551272587826,2.702291253238683,-4.135454728537117,3.5711755686078432,4.275433151067784,-1.012412940537443,-1.381110191372156,2.913717141006348,4.5478204587152256,-1.884745102077876,0.5410423386242856,0.13525839860175895,1.1956728877950527,-2.454506776378513,3.283590294842421,1.8842100570546003,1.4566822577287564,-1.0054915155037374,-4.794566407257284,-0.6394577243142554,3.4517284826202577,-5.885844686528112,3.0045721634379587,0.8473923662811507,3.6566960734295413,-6.260882114483766,3.4183142061542835,-0.8666677734492454
ARNTL,1.5842207660999827,0.4388624194779772,-0.5531869084911275,-0.4176341195924822,0.3462954701714541,2.8063177501574854,2.05565652550242,0.6955495959008906,0.3160762838240555,-0.5657399169686045,-0.7177660087704336,-0.5117180011354464,1.8679643446707175,0.36778009620883606,-3.13483033295412,0.374512485005036,-1.546471562136416,-0.3131783367239311,1.467828692323352,-0.11827067323108371,2.040414204045427,-1.1846366576705323,-3.347460117524311,-0.188462175081879,3.9787946434723387,-2.597000744414876,1.7404361945652786,-2.5465945914877897
ASCL1,-0.2498989424592054,-0.02544511927015499,0.5819799257343907,-0.25168022468681134,4.064233023210362,0.20756827960769358,-0.5352462954133304,-0.05559928943686215,0.9656333789989124,-3.8897230356224317,-0.2673716110858782,-0.17587004927891117,-0.8882871171647633,2.9880835249590527,1.2694774072209718,-1.1245703695607814,0.6273840054700452,-0.7162670776849642,-1.3437636709002827,0.14264507227379558,0.36511934649412264,-0.9172468039279376,1.049307399433252,-1.073369287379525,1.137800940983302,-2.5447843489520467,2.5968082673848745,0.2633085834672344
ATF1,-0.4974716918457974,2.9424243176758256,1.246318734402094,-0.34734063874961985,-0.43395850098521055,-2.3616634459721735,-1.9720035331831165,-2.85025624293951,3.48160207045763,-0.36467298474781873,-1.7454029679218386,1.9296228096758445,-0.846177146821593,0.39485678538757507,2.763572619543244,2.698659399647057,2.581827103981093,-0.7085131319412681,-1.9625343056827864,1.265390974620349,-1.1648289170125268,-0.9023131692788035,1.1212425061246571,-2.3083104374416616,-1.549137629756716,-0.8895608941791627,-0.2859528910266872,-0.35188984771439785
