gene,GSM4023557,GSM4023558,GSM4023559,GSM4023560,GSM4023561,GSM4023562,GSM4023569,GSM4023570,GSM4023571,GSM4023572,GSM4023573,GSM4023574
A1BG,8.50529788315664,8.44834727802855,8.12002553142064,8.0510640910758,7.85049842920218,8.97300186495622,8.48835078846652,8.35524193595668,8.3279802994276,7.80810092003077,7.39138854796921,8.17190172206911
A1CF,5.70706532892826,5.76961700556839,6.11824543927284,6.0656662760569,6.17188264489154,6.59865714298854,5.70136862432564,5.94577848735064,5.94752440831504,6.09598199271699,6.62312440710478,6.75014465717054
A2M,7.37672185438595,7.65243695140781,7.78205045096773,8.50193890518557,8.45563405803701,8.09532312584271,7.30089252372325,7.34870547580374,7.17910210293486,7.37779509152299,7.81021695955879,7.57632062667516
A2ML1,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
A3GALT2,1.58496250072116,1.64057554887179,1.58496250072116,1.62791232027173,1.63179073804839,1.58496250072116,1.6392135387929,1.58496250072116,1.74800640310018,1.58496250072116,1.58496250072116,1.58496250072116
A4GALT,2.3022205149786,2.13707381586675,1.97285253721653,2.41417231658346,2.34321621788252,2.82156821349082,2.43545692224906,2.17396816681591,1.9276392542796,2.40568424003869,2.55010424544824,2.72249286790151
A4GNT,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
AAAS,5.20562580912083,5.118414687139,5.07614337814829,5.00823109205365,5.30137941311087,5.34095321299783,5.32011157568232,5.34197741976322,5.25366260119933,5.10899536576389,5.30695676291665,5.57301374393297
AACS,4.1566633178438,4.28726404066076,4.50255281075432,4.60017430400656,4.84935976126303,4.52767356494082,4.2687755587711,4.51825213905808,4.68181196526459,4.79622811957937,5.10085393447366,4.35293987672641
AADAC,7.18410576743237,7.39676232147286,7.65722891795001,7.96240733354551,8.15860443351021,8.1975412880876,6.94169976716948,7.23183793304349,7.29485852931265,7.75779176847907,8.12653269384843,7.74855770238744
AADACL2,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
AADACL3,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.59848848025377
AADACL4,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
AADAT,2.99892045386837,2.83977664012402,2.97787719577393,2.80181293895476,3.12903011770942,3.21187578650776,3.03602160130769,3.00521988942533,3.11605956541548,2.89309934098413,3.35421174030133,3.32086263005912
AAGAB,5.12140614473523,5.08694728016879,4.97363565290171,4.72504975173041,4.94019654576108,5.65923261886309,5.08865845957131,5.19738582202179,5.09495652011661,5.09781731402166,5.32353830423602,5.70876981681158
AAK1,2.81149787702625,2.95222413717455,3.00644142017599,2.97817944207646,2.99599116213028,4.14891308702274,2.96994928211612,3.05456555003864,2.94243831364045,2.93357642619917,3.20288272154508,4.32967134731081
AAMDC,3.82047667843702,3.93684501519607,4.0425599798191,4.1337923960778,4.604382232679,4.38879460377355,3.76197752064314,3.888397459179,3.82899326163684,4.18073196516098,4.7576987296633,4.31943750394694
AAMP,6.77143607258889,6.67606976396167,6.6418052263528,6.59625898331517,6.7198294996745,6.95004600962797,6.72173544362588,6.84720804165842,6.88335694599758,6.85592888023966,6.92979006765095,7.10498211961598
AANAT,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.60702636472682,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
AAR2,4.65933602114546,4.77132733016529,4.56154030238433,4.42305246734545,4.55688594296522,5.01055038605272,5.00737212513361,5.10140153548712,4.86246007916036,4.64130194024641,4.82403483319402,5.29183134050806
AARD,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
AARS2,3.65428892749805,3.74310303107738,3.59700227898767,3.77948752985448,3.77254588603431,4.04194188191014,3.66370633494554,3.68239600721157,3.75957751996028,3.54185861703579,3.75124626460496,4.18354861572129
AARSD1,6.02672941978233,5.85011603746411,5.71523113759507,5.3642388283968,5.72738062738428,5.71780096796713,5.95233927197498,5.93740608536796,5.89630175302712,5.71276894458632,5.76285253216049,6.01262758936438
AASDH,3.19364724299769,3.06396027187466,2.99778178711248,2.96904501895654,3.00292319068184,3.63529876068452,2.89762292675575,3.1476895760501,2.95566278328676,3.01435177368963,3.40921920429572,3.78169992068469
AASDHPPT,4.83138639885574,4.9124833521245,4.81568638408498,4.56676321506835,4.75735366027202,5.65585359675833,4.96512049935372,5.09464328103391,5.04540397036539,4.8555330879837,5.14449009930648,5.75314655765823
AASS,4.49344553567606,3.95718579115824,4.13557626735725,3.96753436062586,5.17247512220085,3.92798903509629,4.26513009775695,4.05096253706631,3.74736674149759,3.80364136201401,5.00675739494894,4.33288246073064
AATF,5.73099533900234,5.7023904212278,5.77740481031853,5.22795013213983,5.50434057739237,6.24607295090877,5.80340733321013,5.8932579025276,5.96475590171494,5.62355771521719,5.8156643455298,6.50656446348119
AATK,1.68404179919235,1.69555339333145,1.7138451874935,1.78704934501768,1.68655913645641,1.82878149257781,1.77556529078464,1.68651273420292,1.66739213589249,1.76039539682449,1.79292973167944,2.01577230795127
ABAT,6.10457768243771,5.95880869387079,6.06089544205614,6.07587999730857,7.25737932563813,7.63610657031369,6.09744461112444,6.12173517010898,6.03850959282287,6.13416763289472,7.24841709944512,7.51438885968961
ABCA1,4.48363798520799,4.41197592861146,4.48780232242953,4.38716369992605,4.69776344159737,5.25883756264853,4.53494256359994,4.30073174687111,4.47744093124783,4.20461006530852,4.68676530533465,5.34682891227853
ABCA10,1.80270416572818,1.69602720042713,1.73706927667333,1.67667314620204,1.81169804403794,1.75691605442412,1.81990956901316,1.72438657095432,1.69760848910478,1.76323484076938,1.8251803443102,1.79363968671614
ABCA12,1.60497718377581,1.59110942463703,1.60318778776781,1.58496250072116,1.59526784194004,2.14821962905753,1.59692540351899,1.59868020135764,1.58496250072116,1.58496250072116,1.60303907742649,1.75431719452598
ABCA13,1.65773756801355,1.61080281823234,1.60104545649322,1.61226781315895,1.61206555646647,1.62311809553294,1.60076469638087,1.59947396702962,1.5981317222588,1.59600293534761,1.60170710049978,1.601643261132
ABCA2,4.40514079719156,4.22901941513557,4.15924953045177,4.37092532556906,5.04348280395214,5.56199919125696,4.44909774311206,4.32347358677312,4.31640842715461,4.3915350336012,5.05987524123849,5.76486856670084
ABCA3,2.45783516103125,2.56247636899681,2.70846522632843,2.98310251250966,3.17421800487659,3.46028278415726,2.59091112241964,2.61202787363768,2.59028908339854,3.17200715252761,3.66495216462431,3.59453709400465
ABCA4,1.75609772256305,1.81881864905237,1.79694031864595,1.79992728414537,2.00892842580509,2.13684274671776,1.79347580454452,1.91654597514127,1.83560844982776,1.90971741991462,1.93206178172882,1.92320694421668
ABCA5,3.66066548019027,3.60809128826308,3.5998732135646,3.54901025848353,4.10078554761582,4.37630608891966,3.68733923482752,3.68005589691625,3.61857064409496,3.60874046059715,4.15324391183732,4.29161024720204
ABCA6,4.56044989315245,4.59746832704519,4.90873094096399,5.06145558350646,5.33961988899476,4.95654808637909,4.32363062957653,4.48129949550205,4.53204014380981,4.89224171183126,5.40264443872477,4.78821361353266
ABCA7,2.49188564021323,2.55024148936049,2.68260551277265,2.92732979490198,3.37640490620085,3.38606027864317,2.51136588361522,2.48939710956697,2.58617723750343,2.91065544232774,3.2334063846153702,3.56382243512154
ABCA8,3.73531257799386,4.01820818290429,4.18728233779565,4.68833480919551,4.04440103708208,4.19781288638481,3.14983085936867,3.26815454350061,3.37856810793141,4.02359194451049,3.84846700418037,4.04307900215191
ABCA9,2.05401234279457,2.227853176065,2.25399182953768,2.30898666245246,2.58024317079824,2.37377263746276,2.0167046173996,1.96541308145673,1.91489281352874,2.16609985339078,2.41040953357761,2.51250502412615
ABCB1,6.86560334795989,6.9284780976868,7.0082203273411,6.62747147964132,6.5938670749313,6.6601497864033,6.86082365196887,7.12516692001483,7.16728158414815,7.13773171188079,6.98441725870623,6.45820350845744
ABCB10,4.84542072760652,4.51655673716853,4.71912370049127,4.45437168531367,4.9024307954269,5.22173107484517,4.77572565822921,4.81348319436498,4.85749916868051,4.7279713282435,5.04892381652556,5.17747058837744
ABCB11,3.57412953127806,3.69612492651292,4.16794412384574,4.39599666350712,3.84489436492283,4.74332492382133,3.30593112422305,3.2445600284879,2.94593209644481,2.8083268196317,3.536487075264,4.95796888110616
ABCB4,4.93388789850702,5.11694551356754,5.38984194937372,5.70910058698142,5.10063233377714,5.96687384410535,5.01921710099981,5.12402467356938,5.22558856304319,5.38002630345039,4.96757522630463,5.98016417985819
ABCB5,1.58496250072116,1.59755657201221,1.58496250072116,1.58496250072116,1.58496250072116,1.59031196783641,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
ABCB6,6.06362771815186,5.85520843851281,5.63577777913921,5.38829043901189,6.25612464964238,6.39026123468724,6.12679820974181,6.08391499637369,6.05982145734835,5.78231472103455,6.32997836410062,6.26630970916095
ABCB7,4.2161657009826,3.94425277989918,4.05811033476448,3.94937083772344,4.18646144625238,4.44185247572008,4.01308006616756,4.16155224889801,4.17323743997357,4.10354433337988,4.33528308588856,4.62770734491602
ABCB8,4.30252357935483,4.46368402679254,4.29446243768624,4.39107163591933,4.71955737891043,4.36034120593744,4.32747587561996,4.49786542891815,4.46977280688247,4.58325257799911,4.79017145190373,4.48026516734552
ABCB9,1.71702447525905,1.67596303020622,1.6752984908836,1.71604796423187,1.79040172741163,1.77486848827082,1.74925880473883,1.70585656692239,1.74281652496008,1.71470241696799,1.7883601190295,1.84596189577278
ABCC1,2.37683888093554,2.41138345405186,2.28943882955951,2.55352550793226,2.27073992395808,2.84961089352157,2.56887600303001,2.57046861773494,2.59327774554644,2.77650307037581,2.75980839829598,3.38305124543962
ABCC10,3.24768313461918,3.41677518672773,3.30369972942278,3.11381005625958,3.50139935189609,3.6808996583614,3.50434577092614,3.46754591956834,3.58946084173825,3.4292336141494,3.60254377171885,3.75505194770393
ABCC11,3.09061665894183,2.66669293820739,2.68230272207179,2.26006315169057,3.52051949676198,2.16662466234017,2.98381954654132,2.83179682669523,2.69412769814407,2.23777767462256,2.60150417059173,2.18557912333253
ABCC12,1.58496250072116,1.59515261209784,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.5948992004448,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.59370974068895
ABCC2,7.60777723118832,7.49042559406278,7.53345439110186,6.98165790926621,7.8509763675783,8.0342000530675,7.82558168939994,7.84602777216598,7.64967268930501,7.22180325573781,8.04974997386097,8.01856902577212
ABCC3,7.2023732538334,7.0915099371793,6.9330866431574,6.71650815595486,7.76489951484654,7.81845133196214,7.37052418231976,7.22880165628241,7.37753757343876,7.2204852101977,7.89452335820368,7.80258664549411
ABCC4,2.01798549443074,2.03668396585476,2.19573788093995,2.0604590618926,2.19765230779902,2.62295709069707,2.06278364532914,2.18504096375556,2.11521524126631,2.34590499126716,2.72380470537646,3.02189757098185
ABCC5,2.56811441279788,2.88336942277743,2.88120938931804,2.68970101063874,2.64785461450452,2.92789324057229,2.77133805863828,2.75715528067478,2.8696483839104,2.88555411107499,2.85693414810826,2.85043958202885
ABCC6,6.28133673002052,6.33076540280229,6.31314803364249,6.30248579195607,6.78051284444278,6.43710062617138,6.33269756163014,6.44282161799416,6.4292027505747,6.43973622205507,6.75545326263375,6.54919540677372
ABCC8,1.59596395148436,1.61502570340834,1.58496250072116,1.58496250072116,1.62271671168814,1.60202290226485,1.59969727295112,1.60185629221726,1.62048778491701,1.60207778522686,1.59241875159849,1.58496250072116
ABCC9,2.94263417470234,2.90612399373929,2.99591932112642,3.20840861024325,3.57915861063698,3.3538600730563,2.97446758923732,2.95872575540873,2.81469510691205,3.12287759771386,3.88350021550644,3.6403843043432
ABCD1,4.15683684687619,4.05858958214995,4.1014907014983,4.01683650578586,5.29063642568646,4.7611118736221,4.17629074522907,4.32962396323028,4.37364708465415,4.38834109632456,5.14941891208165,4.94649924613078
ABCD2,1.59506764851209,1.59423098372897,1.58496250072116,1.58496250072116,1.58496250072116,1.59282035566819,1.58496250072116,1.58496250072116,1.58496250072116,1.59284571508743,1.58496250072116,1.58496250072116
ABCD3,6.26224352479952,6.17159580029521,6.18356233490875,5.95760827694949,6.15499683017587,6.17291699272049,6.29129647245023,6.35472645732381,6.26068556428228,6.26747093490115,6.47174606468183,6.29248857174333
ABCD4,4.03139898187165,4.1537423935038,4.10324702028021,4.05113694495797,4.30122917781155,4.60402317853627,4.29237022909468,4.17103848155921,4.19308743577946,4.35146141192661,4.44767174450368,4.70041454780377
ABCE1,6.29541021869485,6.23688949302915,6.25241486640628,5.7077733915817,5.75010610562818,6.02755841177043,6.37958759810651,6.61756141252137,6.57354816690747,6.18006989659134,6.23081549753544,6.29524475603735
ABCF1,6.36635675251126,6.44396124949163,6.266527547405,5.98639983863399,6.20581478473254,6.28034296366363,6.46332280889703,6.51374779610726,6.5520570510901,6.24870023315802,6.30329627601645,6.30311830876562
ABCF3,6.11559812600215,6.27429678396908,6.18381446283968,5.91103075963317,6.14552564032958,6.45647161815869,6.22311888642875,6.34267572210496,6.34214365639816,5.96240165096891,6.17263613580081,6.55788585668403
ABCG1,2.15203346620567,2.09476627595121,1.95144537636663,2.02118852808731,2.55304827447355,2.67066619835664,2.40568405364623,2.37660509907846,2.23070611183761,2.34253158281112,2.61105754785756,3.19883859790371
ABCG2,4.39191347228886,4.38779190926781,4.42859918271997,4.2250987406085,4.15007236055364,4.13995270956107,4.29454865939426,4.35159529081726,4.38434052640343,4.20711688822548,4.25279467774924,4.05508567110029
ABCG4,1.58496250072116,1.59908864138883,1.58496250072116,1.60662876625306,1.58496250072116,1.58496250072116,1.59873781343107,1.58496250072116,1.58496250072116,1.59698036523181,1.62628376472417,1.64460934684656
ABCG5,3.75328822649806,3.87889816542525,4.23167689340399,4.05092817059908,4.78741331228396,4.87972675187849,3.70663911543792,3.61931169507839,3.81627728580398,4.11296955085448,4.5297513039534,4.94054688002595
ABCG8,3.85102654329227,4.00531979314821,4.14953313467351,3.86337382188095,4.96290876673088,4.40878239485288,3.50587824915951,3.90839349793207,4.03080236899581,4.01240580099615,4.6013952515928,4.45807994907565
ABHD1,1.66855735277987,1.66179530233426,1.69790543247921,1.6149868306117,1.71172035416389,2.08797552822621,1.62293158161347,1.6284441213776,1.62445866531079,1.83107742995677,1.7499354371989,2.06927194196379
ABHD10,4.2797653383867,4.07370790655152,4.00550575156719,3.92650228214202,4.18473182349525,5.13713812296551,4.00867450129819,4.09727473251781,4.17784362297129,3.98210496702449,4.47880077937867,5.51843526682119
ABHD11,3.40177246953759,3.13665844079316,3.00280572181778,3.09485096505704,3.64418496996571,3.883849030254,3.38185845764013,3.27934573449651,3.34764017827998,3.24382663051805,3.81689591381048,3.90928365677991
ABHD12,4.94486043772771,4.79120715909708,4.74725628143501,4.69928267953286,5.48654853513808,5.85530156939135,4.89326452567263,4.94444591585213,4.92139649675313,4.97250818716305,5.65126723085929,5.92773989187602
ABHD12B,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
ABHD13,3.46057072633632,3.42021217854863,3.3816568458244,3.26592885905611,3.39386703194703,3.772400905599,3.52684128045686,3.72934547057345,3.55289627610537,3.59295101202436,3.56162097647196,3.72215347671795
ABHD14A,3.4650604294507,3.86777369974973,3.71304058381123,3.67163879917417,3.8617298562927602,3.88919283845669,3.69337690141269,3.77883397642292,3.75250473722883,4.01491647228824,3.88071771878378,3.8867623366404
ABHD14A-ACY1,3.26378888254891,3.08977008305497,2.95138220451547,2.74205936463851,3.5725499337272,3.00635003668857,3.24644121032336,2.78642333171233,2.81346532686019,2.8038428388774,3.2246675419598,3.15097086855827
ABHD14B,5.96158625731249,5.91002989501577,5.67999099794124,5.45130457297713,5.86273004722247,6.3715696806916,6.07334032905669,6.07380571924393,5.9320813968145,5.63454978476445,5.75091757640543,6.66499847679373
ABHD15,3.68789430515978,3.43164870553313,3.41929334660192,3.48341695552171,3.91306941936339,4.62538348182336,3.68424528694199,3.52229527673133,3.46934812189369,3.54219071169849,3.94201188680236,4.52858281044107
ABHD16A,5.59250146580849,5.58166367037676,5.49529556632065,5.46630926107903,5.90962650083611,5.94964789952497,5.61123348114411,5.59335062141641,5.7510313205341,5.85407279219097,5.77100104960572,5.87919709332191
ABHD16B,1.58496250072116,1.58496250072116,1.6230638668236,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116
ABHD17A,5.02128606748526,5.226084866993,5.04906959857476,5.17268208125492,5.52133729580711,5.37626932004409,5.12637986730615,5.17983186749122,5.38177459269582,5.33531949412297,5.51997221776769,5.67007721056097
